//ID	Lv	Experience Formula
1 	 1 	 0
2 	 2 	 15
3 	 3 	 18
4 	 4 	 22
5 	 5 	 27
6 	 6 	 33
7 	 7 	 41
8 	 8 	 51
9 	 9 	 63
10 	 10 	 78
11 	 11 	 97
12 	 12 	 121
13 	 13 	 151
14 	 14 	 188
15 	 15 	 235
16 	 16 	 293
17 	 17 	 366
18 	 18 	 457
19 	 19 	 571
20 	 20 	 713
21 	 21 	 891
22 	 22 	 1113
23 	 23 	 1391
24 	 24 	 1738
25 	 25 	 2172
26 	 26 	 2715
27 	 27 	 3393
28 	 28 	 4241
29 	 29 	 5301
30 	 30 	 6626
31 	 31 	 8282
32 	 32 	 10352
33 	 33 	 12940
34 	 34 	 16175
35 	 35 	 20218
36 	 36 	 25272
37 	 37 	 31590
38 	 38 	 39487
39 	 39 	 49358
40 	 40 	 61697
41 	 41 	 77121
42 	 42 	 96401
43 	 43 	 120501
44 	 44 	 150626
45 	 45 	 184516
46 	 46 	 226032
47 	 47 	 276889
48 	 48 	 339189
49 	 49 	 415506
50 	 50 	 508994
51 	 51 	 623517
52 	 52 	 763808
53 	 53 	 935664
54 	 54 	 1146188
55 	 55 	 1375425
56 	 56 	 1650510
57 	 57 	 1980612
58 	 58 	 2376734
59 	 59 	 2852080
60 	 60 	 3422496
61 	 61 	 4106995
62 	 62 	 4928394
63 	 63 	 5914072
64 	 64 	 7096886
65 	 65 	 8338841
66 	 66 	 9798138
67 	 67 	 11512812
68 	 68 	 13527554
69 	 69 	 15894875
70 	 70 	 18676478
71 	 71 	 21944861
72 	 72 	 25785211
73 	 73 	 30297622
74 	 74 	 35599705
75 	 75 	 40939660
76 	 76 	 47080609
77 	 77 	 54142700
78 	 78 	 62264105
79 	 79 	 71603720
80 	 80 	 82344278
81 	 81 	 94695919
82 	 82 	 108900306
83 	 83 	 125235351
84 	 84 	 144020653
85 	 85 	 161303131
86 	 86 	 180659506
87 	 87 	 202338646
88 	 88 	 226619283
89 	 89 	 253813596
90 	 90 	 284271227
91 	 91 	 318383774
92 	 92 	 356589826
93 	 93 	 399380605
94 	 94 	 447306277
95 	 95 	 489800373
96 	 96 	 536331408
97 	 97 	 587282891
98 	 98 	 643074765
99 	 99 	 704166867
100 	 100 	 771062719
101 	 101 	 844313677
102 	 102 	 924523476
103 	 103 	 1012353206
104 	 104 	 1108526760
105 	 105 	 1180580999
106 	 106 	 1257318763
107 	 107 	 1339044482
108 	 108 	 1426082373
109 	 109 	 1518777727
110 	 110 	 1617498279
111 	 111 	 1722635667
112 	 112 	 1834606985
113 	 113 	 1953856439
114 	 114 	 2080857107
115 	 115 	 2216112818
116 	 116 	 2360160151
117 	 117 	 2513570560
118 	 118 	 2676952646
119 	 119 	 2850954567
120 	 120 	 2957865363
121 	 121 	 3068785314
122 	 122 	 3183864763
123 	 123 	 3303259691
124 	 124 	 3427131929
125 	 125 	 3555649376
126 	 126 	 3688986227
127 	 127 	 3827323210
128 	 128 	 3970847830
129 	 129 	 4119754623
130 	 130 	 4200000000
